DATE,UNEMPLOYMENT_RATE
1996-01-01,10.16666667
1996-04-01,10.3
1996-07-01,10.43333333
1996-10-01,10.7
1997-01-01,11.23333333
1997-04-01,11.36666667
1997-07-01,11.6
1997-10-01,11.73333333
1998-01-01,11.6
1998-04-01,11.16666667
1998-07-01,10.8
1998-10-01,10.66666667
1999-01-01,10.66666667
1999-04-01,10.53333333
1999-07-01,10.5
1999-10-01,10.4
2000-01-01,10.13333333
2000-04-01,9.533333333
2000-07-01,9.466666667
2000-10-01,9.333333333
2001-01-01,9.3
2001-04-01,9.266666667
2001-07-01,9.333333333
2001-10-01,9.566666667
2002-01-01,9.6
2002-04-01,9.666666667
2002-07-01,9.833333333
2002-10-01,10.1
2003-01-01,10.46666667
2003-04-01,10.6
2003-07-01,10.53333333
2003-10-01,10.5
2004-01-01,10.33333333
2004-04-01,10.46666667
2004-07-01,10.63333333
2004-10-01,10.8
2005-01-01,11.86666667
2005-04-01,11.86666667
2005-07-01,11.66666667
2005-10-01,11.43333333
2006-01-01,11.4
2006-04-01,11
2006-07-01,10.53333333
2006-10-01,10.06666667
2007-01-01,9.466666667
2007-04-01,9.1
2007-07-01,8.8
2007-10-01,8.5
2008-01-01,8.033333333
2008-04-01,7.833333333
2008-07-01,7.633333333
2008-10-01,7.633333333
2009-01-01,7.933333333
2009-04-01,8.266666667
2009-07-01,8.233333333
2009-10-01,8.1
2010-01-01,8
2010-04-01,7.733333333
2010-07-01,7.566666667
2010-10-01,7.4
2011-01-01,7.3
2011-04-01,7.066666667
2011-07-01,6.966666667
2011-10-01,6.833333333
2012-01-01,6.8
2012-04-01,6.833333333
2012-07-01,6.8
2012-10-01,6.833333333
2013-01-01,6.9
2013-04-01,6.9
2013-07-01,6.8
2013-10-01,6.833333333
2014-01-01,6.8
2014-04-01,6.7
2014-07-01,6.7
2014-10-01,6.566666667
2015-01-01,6.5
2015-04-01,6.433333333
2015-07-01,6.333333333
2015-10-01,6.3
2016-01-01,6.2
2016-04-01,6.133333333
2016-07-01,6.033333333
2016-10-01,6.0
2017-01-01,5.866666667
2017-04-01,5.733333333
2017-07-01,5.633333333
2017-10-01,5.533333333
2018-01-01,5.366666667
2018-04-01,5.233333333
2018-07-01,5.133333333
2018-10-01,5.066666667
2019-01-01,5.0
2019-04-01,4.966666667
2019-07-01,5.0
2019-10-01,5.0
2020-01-01,5.0
2020-04-01,6.133333333
2020-07-01,6.3
2020-10-01,6.166666667
2021-01-01,6.0
2021-04-01,5.9
2021-07-01,5.5
2021-10-01,5.3
2022-01-01,5.066666667
2022-04-01,5.1
